peak_index,row,col,value,quality_score,valid_ratio,local_contrast,x,y
57,82,56,715.8626098632812,1.6347425527117931,1,1.6347425527117931,129.43307189886806,-26.866540878875277
58,59,121,538.2835693359375,1.621467280856377,1,1.621467280856377,130.51666281275695,-26.48300992443083
59,56,50,445.701904296875,1.5892401468968234,1,1.5892401468968234,129.3330481222014,-26.432984147764166
60,100,83,581.0009765625,1.5732099028300082,1,1.5732099028300082,129.88317889386806,-27.166695538875278
61,82,115,578.1007690429688,1.564541824464306,1,1.564541824464306,130.4166390360903,-26.866540878875277
62,77,88,599.9691772460938,1.504075203251214,1,1.504075203251214,129.9665320410903,-26.783164584430832
63,83,99,568.3582153320312,1.4823568528607072,1,1.4823568528607072,130.14990896497918,-26.883216137764165
64,99,129,457.6106262207031,1.4481581083695776,1,1.4481581083695776,130.6500278483125,-27.15002027998639
65,69,74,535.8759765625,1.4385996183396625,1,1.4385996183396625,129.73314322886807,-26.649762513319722
66,66,59,558.4592895507812,1.4351296760720933,1,1.4351296760720933,129.4830837872014,-26.599736736653057
67,82,86,592.8778686523438,1.3944421964279154,1,1.3944421964279154,129.9331907822014,-26.866540878875277
68,98,110,491.93255615234375,1.3941118587816903,1,1.3941118587816903,130.33328588886806,-27.1333450210975
69,59,96,474.84820556640625,1.3782299102272368,1,1.3782299102272368,130.09989707664585,-26.48300992443083
70,84,111,523.3453979492188,1.368778111003968,1,1.368778111003968,130.3499565183125,-26.899891396653054
71,80,103,519.8779296875,1.3558492745031012,1,1.3558492745031012,130.21659148275694,-26.8331903610975
72,80,119,513.6753540039062,1.3546178909762405,1,1.3546178909762405,130.48332155386805,-26.8331903610975
73,77,59,562.0635986328125,1.2624995728731867,1,1.2624995728731867,129.4830837872014,-26.783164584430832
74,87,126,483.0157165527344,1.256055368334785,1,1.256055368334785,130.60001595997917,-26.949917173319722
75,97,106,469.65509033203125,1.2505707154120818,1,1.2505707154120818,130.26660337109027,-27.116669762208613
76,88,103,480.52435302734375,1.2024569230360844,1,1.2024569230360844,130.21659148275694,-26.96659243220861
77,107,59,359.9524230957031,1.1870282526295814,1,1.1870282526295814,129.4830837872014,-27.2834223510975
78,67,116,442.2677307128906,1.1709868337289304,1,1.1709868337289304,130.43330966553472,-26.616411995541945
79,102,120,365.63037109375,1.1258138609504138,1,1.1258138609504138,130.49999218331251,-27.200046056653054
80,71,87,463.8482360839844,1.1124107633075515,1,1.1124107633075515,129.94986141164583,-26.6831130310975
81,65,80,405.6536865234375,1.1040154949737422,1,1.1040154949737422,129.83316700553473,-26.583061477764165
82,71,55,464.7598876953125,1.0786496905812628,1,1.0786496905812628,129.4164012694236,-26.6831130310975
